first_tweet,data_gaps,first_last,beginning_uninterupted
2013-03-04,TRUE,Blake Frenthold,2021-01-01
2012-11-25,TRUE,Blake Moore,2020-02-01
2010-05-28,TRUE,Bob Brady,2015-02-01
2011-05-25,FALSE,Bobby Rush,2011-05-25
2011-06-23,TRUE,Bobby Scott,2020-09-01
2019-11-18,TRUE,Bob Good,2022-03-01
2013-08-21,FALSE,Bob Goodlatte,2013-08-21
2010-02-02,TRUE,Bob Latta,2012-06-01
2013-07-02,TRUE,Bonnie Coleman,2021-02-01
2015-05-20,TRUE,Brad Finstad,2022-03-01
2015-11-06,FALSE,Bradley Byrne,2015-11-06
2012-10-24,TRUE,Brad Schneider,2015-04-01
2009-04-15,TRUE,Brad Sherman,2014-03-01
2011-06-16,TRUE,Brad Wenstrup,2022-02-01
2022-02-25,FALSE,Brandon Williams,2022-02-25
2014-08-02,TRUE,Brenda Lawrence,2019-06-01
2015-12-02,TRUE,Brendan Boyle,2021-10-01
2010-02-27,TRUE,Brett Guthrie,2019-09-01
2014-01-02,FALSE,Brian Babin,2014-01-02
2016-03-14,TRUE,Brian Fitzpatrick,2019-02-01
2011-08-11,TRUE,Brian Higgins,2019-02-01
2018-03-23,TRUE,Brian Maryott,2023-02-01
2015-04-24,FALSE,Brian Mast,2015-04-24
2012-09-15,TRUE,Brittany Pettersen,2023-01-01
2009-04-28,TRUE,Bruce Poliquin,2022-06-01
2011-07-26,FALSE,Bruce Westerman,2011-07-26
2018-04-22,FALSE,Bryan Steil,2018-04-22
2012-05-25,FALSE,Buddy Carter,2012-05-25
2020-08-14,FALSE,Burgess Owens,2020-08-14
2011-12-12,TRUE,Butterfield Butterfield,2022-12-01
2017-04-10,FALSE,Byron Donalds,2017-04-10
2015-01-06,TRUE,Carlos Curbelo,2020-11-01
2020-01-23,FALSE,Carlos Gimenez,2020-01-23
2013-08-29,TRUE,Carol Miller,2018-02-01
2013-01-09,TRUE,Carol Shea-Porter,2017-01-01
2018-03-08,FALSE,Carolyn Bourdeaux,2018-03-08
2010-03-05,TRUE,Carolyn Maloney,2020-08-01
2010-04-08,TRUE,Cathy Rodgers,2013-11-01
2010-05-29,TRUE,Cedric Richmond,2019-11-01
2019-02-04,TRUE,Charlie Crist,2022-05-01
2011-01-26,TRUE,Charlie Dent,2021-05-01
2009-02-26,TRUE,Chellie Pingree,2011-10-01
2012-08-15,TRUE,Cheri Bustos,2019-07-01
2018-11-10,TRUE,Chip Roy,2022-02-01
2021-03-02,FALSE,Chris Deluzio,2021-03-02
2019-05-25,TRUE,Chris Jacobs,2022-11-01
2012-05-08,TRUE,Chris Pappas,2020-12-01
2011-10-22,FALSE,Chris Stewart,2011-10-22
2017-04-11,FALSE,Chrissy Houlahan,2017-04-11
2020-03-25,TRUE,Chuck Edwards,2021-07-01
2009-06-23,TRUE,Chuck Fleischmann,2023-03-01
2019-02-03,TRUE,Chuy Garcia,2021-11-01
2017-06-02,FALSE,Cindy Axne,2017-06-02
2017-01-04,TRUE,Claudia Tenney,2021-10-01
2017-03-21,FALSE,Clay Higgins,2017-03-21
2020-01-12,FALSE,Cliff Bentz,2020-01-12
2012-09-06,TRUE,Colin Allred,2019-09-01
2011-01-18,TRUE,Colleen Hanabusa,2016-11-01
2014-06-30,TRUE,Collin Peterson,2018-07-01
2017-10-14,TRUE,Conor Lamb,2023-01-01
2020-05-26,FALSE,Cori Bush,2020-05-26
2022-01-19,FALSE,Cory Mills,2022-01-19
2010-02-02,TRUE,Cynthia Lummis,2021-01-01
2017-02-01,TRUE,Dale Strong,2023-01-01
2015-02-15,TRUE,Dana Rohrabacher,2022-07-01
2018-12-27,FALSE,Dan Bishop,2018-12-27
2017-11-21,FALSE,Dan Crenshaw,2017-11-21
2015-07-21,FALSE,Dan Donovan,2015-07-21
2018-11-07,TRUE,Dan Goldman,2020-01-01
2010-04-24,TRUE,Daniel Webster,2020-12-01
2011-07-17,TRUE,Dan Kildee,2019-02-01
2012-12-13,TRUE,Dan Lipinski,2021-10-01
2017-11-16,FALSE,Dan Meuser,2017-11-16
2015-01-06,FALSE,Dan Newhouse,2015-01-06
2012-09-18,TRUE,Danny Davis,2016-05-01
2015-03-28,FALSE,Darin Lahood,2015-03-28
2014-05-26,TRUE,Darrel Issa,2021-04-01
2014-09-08,TRUE,Darrell Issa,2021-01-01
2017-01-10,FALSE,Darren Soto,2017-01-10
2012-10-16,TRUE,Dave Joyce,2019-03-01
2015-01-06,TRUE,Dave Trott,2018-01-01
2014-02-17,FALSE,David Cicilline,2014-02-17
2013-01-03,FALSE,David Joyce,2013-01-03
2015-11-26,TRUE,David Kustoff,2018-11-01
2013-02-08,FALSE,David Loebsack,2013-02-08
2012-09-21,FALSE,David Mckinley,2012-09-21
2010-05-25,TRUE,David Rouzer,2013-08-01
2009-02-26,TRUE,David Schweikert,2017-03-01
2010-07-20,TRUE,David Scott,2019-11-01
2016-01-28,TRUE,David Trone,2016-12-01
2011-04-02,TRUE,David Valadao,2020-08-01
2013-06-01,TRUE,David Young,2019-05-01
2017-05-05,FALSE,Dean Phillips,2017-05-05
2015-01-09,TRUE,Debbie Dingell,2019-02-01
2018-04-01,FALSE,Debbie Lesko,2018-04-01
2019-02-03,FALSE,Debbie Mucarsel-Powell,2019-02-03
2013-02-13,FALSE,Debbie Schultz,2013-02-13
2019-01-03,FALSE,Deb Haaland,2019-01-03
2015-10-14,TRUE,Deborah Ross,2019-12-01
2019-02-15,TRUE,Delia Ramirez,2021-09-01
2012-08-28,TRUE,Dennis Ross,2018-11-01
2013-01-07,FALSE,Denny Heck,2013-01-07
2017-01-09,TRUE,Denver Riggleman,2022-07-01
2010-04-07,TRUE,Derek Kilmer,2013-01-01
2022-04-24,FALSE,Derrick Orden,2022-04-24
2010-03-23,TRUE,Devin Nunes,2017-11-01
2010-06-07,TRUE,Diana Degette,2021-12-01
2020-03-12,TRUE,Diana Harshbarger,2022-03-01
2013-06-24,FALSE,Diane Black,2013-06-24
2015-05-30,TRUE,Dina Titus,2021-04-01
2012-01-09,TRUE,Donald Mceachin,2016-03-01
2014-02-17,TRUE,Donald Norcross,2020-01-01
2012-05-05,TRUE,Donald Payne,2013-04-01
2016-11-09,TRUE,Don Bacon,2022-03-01
2014-01-30,TRUE,Don Beyer,2015-01-01
2015-06-28,TRUE,Don Davis,2021-11-01
2016-06-24,FALSE,Donna Shalala,2016-06-24
2009-09-21,FALSE,Don Young,2009-09-21
2010-07-27,TRUE,Doris Matsui,2015-07-01
2011-07-28,TRUE,Doug Collins,2023-02-01
2013-01-11,TRUE,Doug Lamalfa,2021-09-01
2012-05-18,FALSE,Doug Lamborn,2012-05-18
2016-02-16,TRUE,Drew Ferguson,2021-02-01
2011-04-21,TRUE,Dusty Johnson,2017-01-01
2011-05-26,FALSE,Dutch Ruppersberger,2011-05-26
2014-09-09,TRUE,Dwight Evans,2021-08-01
2013-09-24,FALSE,E,2013-09-24
2008-11-04,TRUE,Earl Blumenauer,2023-01-01
2009-03-15,TRUE,Ed Case,2019-01-01
2009-02-11,TRUE,Ed Perlmutter,2023-01-01
2011-10-27,TRUE,Ed Royce,2023-02-01
2018-01-08,TRUE,Elaine Luria,2019-03-01
2009-03-16,TRUE,Eleanor Holmes-Norton,2020-07-01
2012-06-13,TRUE,Eleanor Norton,2022-11-01
2021-07-20,TRUE,Eli Crane,2023-01-01
2014-01-17,FALSE,Elijah Cummings,2014-01-17
2011-04-11,TRUE,Eliot Engel,2022-11-01
2015-01-06,TRUE,Elise Stefanik,2022-02-01
2017-05-06,TRUE,Elissa Slotkin,2020-03-01
2014-07-05,TRUE,Elizabeth Esty,2023-02-01
2012-09-04,TRUE,Emanuel Cleaver,2013-06-01
2022-11-20,FALSE,Emilia Sykes,2022-11-20
2023-01-07,FALSE,Eric Burlison,2023-01-07
2020-10-09,FALSE,Eric Sorensen,2020-10-09
2015-05-26,TRUE,Eric Swalwell,2021-10-01
2011-12-12,TRUE,Erik Paulsen,2023-01-01
2023-01-07,FALSE,Erin Houchin,2023-01-07
2012-10-04,TRUE,Filemon Vela,2016-08-01
2016-01-29,TRUE,Francis Rooney,2023-02-01
2011-01-21,TRUE,Frank Lobiondo,2021-11-01
2011-11-16,TRUE,Frank Lucas,2018-01-01
2019-12-02,TRUE,Frank Mrvan,2022-01-01
2012-06-05,TRUE,Frank Pallone,2013-03-01
2015-01-24,TRUE,Frederica Wilson,2020-11-01
2019-02-19,FALSE,Fred Keller,2019-02-19
2010-06-17,TRUE,Fred Upton,2011-09-01
2013-09-12,FALSE,French Hill,2013-09-12
2019-08-07,FALSE,Gabe Vasquez,2019-08-07
2012-05-22,TRUE,Garret Graves,2022-12-01
2015-01-06,FALSE,Gary Palmer,2015-01-06
2011-11-08,TRUE,George Holding,2022-05-01
2023-01-18,FALSE,George Santos,2023-01-18
2010-05-26,TRUE,Gerry Connolly,2012-11-01
2019-01-05,FALSE,Gil Cisneros,2019-01-05
2014-04-08,TRUE,Glenn Grothman,2016-12-01
2015-03-11,TRUE,Glenn Ivey,2023-01-01
2011-06-10,TRUE,Glenn Thompson,2022-09-01
2013-01-03,FALSE,Grace Meng,2013-01-03
2010-06-30,FALSE,Grace Napolitano,2010-06-30
2021-02-21,TRUE,Greg Casar,2023-02-01
2009-03-11,FALSE,Gregg Harper,2009-03-11
2015-08-24,TRUE,Greg Gianforte,2022-11-01
2013-04-17,TRUE,Greg Landsman,2022-01-01
2019-02-25,TRUE,Greg Murphy,2019-09-01
2009-03-04,TRUE,Gregory Meeks,2010-03-01
2017-10-18,FALSE,Greg Pence,2017-10-18
2015-11-21,FALSE,Greg Stanton,2015-11-21
2009-02-25,TRUE,Greg Steube,2019-01-01
2009-06-19,TRUE,Greg Walden,2023-02-01
2012-06-19,FALSE,Gus Bilirakis,2012-06-19
2012-01-29,TRUE,Guy Reschenthaler,2018-02-01
2012-08-28,TRUE,Gwen Moore,2016-12-01
2012-02-01,TRUE,Hakeem Jeffries,2020-11-01
2017-02-07,FALSE,Haley Stevens,2017-02-07
2012-04-11,TRUE,Hal Rogers,2023-01-01
2009-06-19,TRUE,Hank Johnson,2009-09-01
2018-01-31,TRUE,Harley Rouda,2023-01-01
2021-09-09,FALSE,Harriet Hageman,2021-09-09
2013-04-18,FALSE,Henry Cuellar,2013-04-18
2019-03-24,TRUE,Hillary Scholten,2021-09-01
2013-01-09,FALSE,Ileana Ros-Lehtinen,2013-01-09
2019-01-09,FALSE,Ilhan Omar,2019-01-09
2016-07-09,TRUE,Jack Bergman,2023-01-01
2010-10-22,FALSE,Jackie Speier,2010-10-22
2008-04-28,TRUE,Jackie Walorski,2013-03-01
2018-05-02,FALSE,Jahana Hayes,2018-05-02
2009-12-22,TRUE,Jaime Beutler,2022-12-01
2016-02-01,TRUE,Jake Auchincloss,2019-04-01
2014-01-04,TRUE,Jake Ellzey,2022-11-01
2019-01-08,FALSE,Jake Laturner,2019-01-08
2021-01-03,FALSE,Jamaal Bowman,2021-01-03
2019-01-18,TRUE,James Baird,2020-01-01
2010-09-13,TRUE,James Clyburn,2011-03-01
2013-10-20,FALSE,James Comer,2013-10-20
2012-04-26,TRUE,Jamie Raskin,2015-03-01
2010-01-13,TRUE,Jan Schakowsky,2010-07-01
2017-08-24,FALSE,Jared Golden,2017-08-24
2013-01-18,FALSE,Jared Huffman,2013-01-18
2023-01-07,FALSE,Jared Moskowitz,2023-01-07
2012-01-13,TRUE,Jared Polis,2020-11-01
2021-06-17,FALSE,Jasmine Crockett,2021-06-17
2013-09-09,TRUE,Jason Chaffetz,2021-01-01
2017-04-11,FALSE,Jason Crow,2017-04-11
2012-07-14,TRUE,Jason Smith,2019-08-01
2014-12-03,TRUE,Jay Obernolte,2020-04-01
2010-04-20,TRUE,Jeb Hensarling,2015-09-01
2009-02-17,TRUE,Jeff Duncan,2014-05-01
2009-01-30,TRUE,Jeff Fortenberry,2021-12-01
2023-01-11,FALSE,Jeff Jackson,2023-01-11
2019-04-01,TRUE,Jen Kiggans,2021-07-01
2013-11-30,TRUE,Jennifer Wexton,2022-12-01
2017-01-13,FALSE,Jenniffer Gonzalez,2017-01-13
2013-12-09,TRUE,Jerry Carl,2018-01-01
2010-08-09,TRUE,Jerry Mcnerney,2015-06-01
2011-10-12,FALSE,Jerry Nadler,2011-10-12
2015-03-16,TRUE,Jesus Garcia,2019-08-01
2021-10-06,FALSE,Jill Tokuda,2021-10-06
2013-01-01,FALSE,Jim Banks,2013-01-01
2013-01-22,TRUE,Jim Bridenstine,2018-08-01
2010-09-28,TRUE,Jim Cooper,2023-01-01
2012-06-01,TRUE,Jim Costa,2019-02-01
2013-09-04,TRUE,Jim Hagedorn,2015-05-01
2014-02-27,FALSE,Jim Himes,2014-02-27
2008-12-16,TRUE,Jim Jordan,2022-03-01
2010-06-14,TRUE,Jim Langevin,2012-05-01
2010-04-02,TRUE,Jim Mcgovern,2013-09-01
2013-09-20,TRUE,Jimmy Duncan,2018-10-01
2015-06-25,FALSE,Jimmy Gomez,2015-06-25
2015-11-17,FALSE,Jimmy Panetta,2015-11-17
2011-01-12,TRUE,Jim Renacci,2019-03-01
2015-02-11,TRUE,Joaquin Castro,2021-09-01
2015-10-15,FALSE,Jodey Arrington,2015-10-15
2010-04-26,TRUE,Jody Hice,2020-08-01
2009-02-02,TRUE,Joe Barton,2018-08-01
2010-09-07,TRUE,Joe Courtney,2011-09-01
2011-02-15,FALSE,Joe Crowley,2011-02-15
2019-01-03,FALSE,Joe Cunningham,2019-01-03
2013-01-03,FALSE,Joe Kennedy,2013-01-03
2018-03-27,TRUE,Joe Morelle,2019-02-01
2013-06-25,TRUE,Joe Neguse,2018-06-01
2008-06-21,TRUE,Joe Wilson,2014-03-01
2009-10-23,TRUE,John Carter,2018-05-01
2010-05-28,TRUE,John Conyers,2020-02-01
2013-04-18,TRUE,John Curtis,2018-09-01
2013-06-20,TRUE,John Delaney,2020-11-01
2023-01-13,FALSE,John Duarte,2023-01-13
2017-01-03,FALSE,John Faso,2017-01-03
2009-01-12,TRUE,John Garamendi,2016-08-01
2018-03-20,TRUE,John Joyce,2020-12-01
2015-01-12,FALSE,John Katko,2015-01-12
2009-10-20,TRUE,John Larson,2021-09-01
2009-04-23,TRUE,John Lewis,2010-10-01
2014-06-05,TRUE,John Moolenaar,2020-01-01
2017-08-10,FALSE,John Rose,2017-08-10
2016-05-27,FALSE,John Rutherford,2016-05-27
2011-08-29,TRUE,John Sarbanes,2016-11-01
2013-07-24,TRUE,John Shimkus,2018-09-01
2011-10-04,FALSE,John Yarmuth,2011-10-04
2023-02-03,FALSE,Jonathan Jackson,2023-02-03
2011-10-29,TRUE,Jose Serrano,2022-09-01
2012-11-06,TRUE,Josh Gottheimer,2021-08-01
2017-07-20,TRUE,Josh Harder,2020-02-01
2012-05-23,TRUE,Joyce Beatty,2013-12-01
2019-03-20,FALSE,Juan Ciscomani,2019-03-20
2013-04-10,FALSE,Juan Vargas,2013-04-10
2010-11-09,TRUE,Judy Chu,2022-01-01
2009-06-03,TRUE,Julia Brownley,2013-03-01
2011-08-14,TRUE,Julia Letlow,2020-12-01
2016-01-04,TRUE,Justin Amash,2020-12-01
2010-03-11,TRUE,Karen Bass,2020-11-01
2020-01-09,FALSE,Kat Cammack,2020-01-09
2009-03-07,FALSE,Katherine Clark,2009-03-07
2009-10-19,TRUE,Kathleen Rice,2012-07-01
2013-09-23,FALSE,Kathy Castor,2013-09-23
2017-12-06,TRUE,Kathy Manning,2019-11-01
2018-11-30,TRUE,Katie Hill,2020-07-01
2018-04-16,FALSE,Katie Porter,2018-04-16
2010-07-01,TRUE,Kay Granger,2019-09-01
2015-06-29,FALSE,Keith Ellison,2015-06-29
2013-07-23,FALSE,Keith Rothfus,2013-07-23
2023-01-09,FALSE,Keith Self,2023-01-09
2018-02-21,FALSE,Kelly Armstrong,2018-02-21
2009-04-28,TRUE,Ken Buck,2020-08-01
2010-04-30,TRUE,Ken Calvert,2023-01-01
2019-01-09,TRUE,Kendra Horn,2022-02-01
2011-05-10,TRUE,Kenny Marchant,2021-01-01
2012-05-03,TRUE,Kevin Brady,2023-03-01
2009-04-02,TRUE,Kevin Cramer,2011-08-01
2009-01-19,TRUE,Kevin Hern,2019-10-01
2020-05-08,FALSE,Kevin Kiley,2020-05-08
2008-12-05,TRUE,Kevin Mccarthy,2018-12-01
2023-01-04,FALSE,Kevin Mullin,2023-01-04
2012-05-13,TRUE,Kilili Sablan,2017-11-01
2017-08-07,FALSE,Kim Schrier,2017-08-07
2009-02-10,TRUE,Kurt Schrader,2022-11-01
2019-11-04,FALSE,Kweisi Mfume,2019-11-04
2019-02-03,TRUE,Lacy Clay,2022-11-01
2009-03-16,TRUE,Lamar Smith,2018-12-01
2019-09-17,FALSE,Lance Gooden,2019-09-17
2009-10-12,TRUE,Larry Bucshon,2012-02-01
2023-01-09,FALSE,Laurel Lee,2023-01-09
2021-01-03,FALSE,Lauren Boebert,2021-01-03
2017-06-07,TRUE,Lauren Underwood,2019-08-01
2013-03-27,TRUE,Lee Zeldin,2023-03-01
2012-06-29,FALSE,Leonard Lance,2012-06-29
2011-06-16,FALSE,Linda Sanchez,2011-06-16
2019-10-28,TRUE,Lisa Mcclain,2020-01-01
2015-10-27,TRUE,Lisa Rochester,2020-11-01
2012-02-14,TRUE,Liz Cheney,2022-11-01
2017-05-11,FALSE,Lizzie Fletcher,2017-05-11
2010-06-10,TRUE,Lloyd Doggett,2010-09-01
2009-05-21,TRUE,Lloyd Smucker,2016-09-01
2011-08-06,TRUE,Lois Frankel,2021-05-01
2016-01-30,TRUE,Lori Chavez-Deremer,2021-05-01
2017-10-12,FALSE,Lori Trahan,2017-10-12
2011-01-19,TRUE,Lou Barletta,2014-05-01
2016-07-06,TRUE,Lou Correa,2020-12-01
2013-06-27,TRUE,Louie Gohmert,2023-03-01
2009-08-25,TRUE,Louise Slaughter,2011-10-01
2012-01-31,TRUE,Lucille Roybal-Allard,2020-08-01
2018-01-11,TRUE,Lucy Mcbath,2022-11-01
2012-04-18,TRUE,Luis Gutierrez,2022-09-01
2011-09-26,TRUE,Mac Thornberry,2020-11-01
2017-11-30,FALSE,Madeleine Dean,2017-11-30
2020-01-07,FALSE,Madison Cawthorn,2020-01-07
2009-01-10,TRUE,Marcia Fudge,2013-05-01
2022-04-13,FALSE,Marc Molinaro,2022-04-13
2009-02-12,TRUE,Marc Veasey,2012-02-01
2012-02-03,TRUE,Marcy Kaptur,2013-09-01
2017-07-05,TRUE,Maria Horn,2022-05-01
2017-04-19,FALSE,Marianette Miller-Meeks,2017-04-19
2021-03-13,FALSE,Mariannette Miller-Meeks,2021-03-13
2020-09-15,FALSE,Maria Salazar,2020-09-15
2020-04-08,TRUE,Marie Newman,2022-02-01
2022-02-23,FALSE,Marie Perez,2022-02-23
2019-12-19,FALSE,Marilyn Strickland,2019-12-19
2011-09-17,TRUE,Mario Diaz-Balart,2013-02-01
2021-05-10,FALSE,Marjorie Greene,2021-05-10
2011-11-07,TRUE,Mark Amodei,2023-03-01
2009-05-08,TRUE,Mark Desaulnier,2020-07-01
2009-12-11,TRUE,Mark Green,2011-12-01
2011-10-04,TRUE,Mark Meadows,2022-08-01
2011-06-02,TRUE,Mark Pocan,2020-08-01
2013-06-16,TRUE,Mark Sanford,2015-01-01
2012-03-15,TRUE,Mark Takano,2019-02-01
2015-01-07,FALSE,Mark Walker,2015-01-07
2013-01-04,FALSE,Markwayne Mullin,2013-01-04
2013-11-18,FALSE,Martha Roby,2013-11-18
2019-10-23,TRUE,Mary Miller,2020-06-01
2022-04-22,FALSE,Mary Peltola,2022-04-22
2018-02-13,TRUE,Mary Scanlon,2021-05-01
2012-01-24,TRUE,Matt Cartwright,2023-03-01
2017-01-11,TRUE,Matt Gaetz,2021-03-01
2013-04-24,TRUE,Matt Rosendale,2019-09-01
2009-05-22,TRUE,Maxine Waters,2021-12-01
2021-02-26,FALSE,Max Miller,2021-02-26
2017-08-02,TRUE,Max Rose,2021-07-01
2022-05-22,FALSE,Maxwell Frost,2022-05-22
2020-08-24,FALSE,Melanie Stansbury,2020-08-24
2010-07-28,FALSE,Michael Burgess,2010-07-28
2009-03-11,TRUE,Michael Cloud,2021-06-01
2018-01-18,FALSE,Michael Guest,2018-01-18
2009-04-06,TRUE,Michael Mccaul,2022-03-01
2017-11-06,TRUE,Michael Nicolas,2022-12-01
2019-02-03,FALSE,Michael Waltz,2019-02-03
2019-09-03,FALSE,Michelle Fischbach,2019-09-03
2013-01-09,FALSE,Michelle Grisham,2013-01-09
2019-05-02,FALSE,Michelle Steel,2019-05-02
2015-01-06,TRUE,Mike Bost,2017-01-01
2021-05-17,FALSE,Mike Carey,2021-05-17
2009-01-23,TRUE,Mike Coffman,2014-09-01
2021-09-03,FALSE,Mike Collins,2021-09-03
2011-05-11,TRUE,Mike Conaway,2017-06-01
2009-05-12,TRUE,Mike Doyle,2013-09-01
2023-01-07,FALSE,Mike Ezell,2023-01-07
2013-08-11,TRUE,Mike Fitzpatrick,2017-02-01
2022-02-07,TRUE,Mike Flood,2022-08-01
2017-01-03,TRUE,Mike Gallagher,2019-02-01
2019-04-10,FALSE,Mike Garcia,2019-04-10
2016-02-10,FALSE,Mike Johnson,2016-02-10
2010-02-18,TRUE,Mike Kelly,2020-12-01
2018-10-18,TRUE,Mike Lawler,2020-02-01
2018-03-02,FALSE,Mike Levin,2018-03-02
2020-12-11,FALSE,Mike Pompeo,2020-12-11
2008-08-22,TRUE,Mike Quigley,2021-03-01
2009-04-21,TRUE,Mike Rogers,2019-02-01
2009-09-30,TRUE,Mike Simpson,2017-11-01
2013-01-16,TRUE,Mike Thompson,2021-04-01
2011-05-27,FALSE,Mike Turner,2011-05-27
2019-02-01,TRUE,Mike Waltz,2021-07-01
2017-03-24,TRUE,Mikie Sherrill,2017-05-01
2018-06-21,TRUE,MJHegar,2023-02-01
2011-01-20,FALSE,Mo Brooks,2011-01-20
2020-11-14,TRUE,Mondaire Jones,2021-05-01
2023-01-07,FALSE,Monica Cruz,2023-01-07
2010-04-15,TRUE,Morgan Griffith,2022-12-01
2021-06-03,TRUE,Morgan Luttrell,2023-01-01
2012-03-01,TRUE,Morgan Mcgarvey,2017-09-01
2020-05-22,FALSE,Nancy Mace,2020-05-22
2013-03-09,TRUE,Nancy Pelosi,2021-03-01
2017-01-01,TRUE,Nanette Barragan,2019-02-01
2019-02-04,TRUE,Nate Mcmurray,2022-05-01
2023-01-07,FALSE,Nathaniel Moran,2023-01-07
2015-09-02,TRUE,Neal Dunn,2022-12-01
2011-05-01,TRUE,Nick Lalota,2021-03-01
2020-05-21,TRUE,Nick Langworthy,2022-03-01
2021-01-03,FALSE,Nicole Malliotakis,2021-01-03
2016-11-04,FALSE,Nikema Williams,2016-11-04
2023-01-07,FALSE,Nikki Budzinski,2023-01-07
2010-12-14,FALSE,Nita Lowey,2010-12-14
2014-02-11,FALSE,Norma Torres,2014-02-11
2011-10-11,TRUE,Nydia Velazquez,2019-06-01
2011-04-11,TRUE,Pat Fallon,2020-12-01
2010-12-13,FALSE,Patrick Mchenry,2010-12-13
2019-07-21,FALSE,Pat Ryan,2019-07-21
2012-10-29,TRUE,Pat Tiberi,2022-08-01
2013-01-15,TRUE,Paul Cook,2020-08-01
2013-09-18,TRUE,Paul Gosar,2019-03-01
2017-01-03,FALSE,Paul Mitchell,2017-01-03
2016-08-10,TRUE,Paul Ryan,2023-03-01
2012-07-11,TRUE,Paul Tonko,2013-07-01
2009-07-10,TRUE,Pete Aguilar,2023-02-01
2009-08-27,FALSE,Pete King,2009-08-27
2008-01-26,TRUE,Pete Olson,2011-10-01
2010-09-26,TRUE,Peter Defazio,2023-02-01
2019-07-03,FALSE,Peter Meijer,2019-07-03
2014-06-10,FALSE,Peter Roskam,2014-06-10
2012-09-27,FALSE,Peter Welch,2012-09-27
2013-01-23,TRUE,Pete Sessions,2021-01-01
2017-07-13,FALSE,Pete Stauber,2017-07-13
2015-08-25,TRUE,Pete Visclosky,2020-03-01
2009-06-30,TRUE,Phil Roe,2010-01-01
2017-01-03,TRUE,Pramila Jayapal,2021-02-01
2010-01-04,TRUE,Raja Krishnamoorthi,2015-01-01
2014-06-04,TRUE,Ralph Abraham,2016-11-01
2017-02-08,TRUE,Ralph Norman,2018-01-01
2019-01-09,FALSE,Randy Feenstra,2019-01-09
2012-10-24,TRUE,Randy Hultgren,2013-03-01
