first_tweet,data_gaps,first_last,beginning_uninterupted
2012-02-08,TRUE,Heidi Heitkamp,2021-07-01
2013-02-04,FALSE,Jack Reed,2013-02-04
2016-01-27,TRUE,Jacky Rosen,2021-01-01
2009-11-28,TRUE,James Lankford,2020-08-01
2008-03-11,TRUE,Jeanne Shaheen,2013-01-01
2008-09-04,TRUE,Jeff Flake,2022-10-01
2010-12-06,TRUE,Jeff Merkley,2012-01-01
2009-03-10,TRUE,Jerry Moran,2011-05-01
2012-03-26,TRUE,Jim Inhofe,2017-09-01
2013-01-17,TRUE,Jim Risch,2016-09-01
2017-02-01,TRUE,Joe Cunningham,2023-03-01
2013-05-07,FALSE,Joe Donnelly,2013-05-07
2011-02-17,FALSE,John Barrasso,2011-02-17
2008-08-04,TRUE,John Boozeman,2011-01-01
2014-09-09,TRUE,John Cornyn,2022-07-01
2022-02-19,FALSE,John Fetterman,2022-02-19
2019-06-02,FALSE,John Hickenlooper,2019-06-02
2010-01-20,TRUE,John Hoeven,2012-09-01
2017-07-17,TRUE,John James,2021-01-01
2009-07-07,TRUE,John Kennedy,2016-04-01
2015-06-24,FALSE,John Mccain,2015-06-24
2013-02-12,TRUE,Johnny Isakson,2021-12-01
2009-04-07,TRUE,John Thune,2012-06-01
2013-04-27,TRUE,Joni Ernst,2013-07-01
2009-11-21,FALSE,Jon Kyl,2009-11-21
2020-08-04,FALSE,Jon Ossoff,2020-08-04
2011-07-12,TRUE,Jon Tester,2014-04-01
2010-03-08,TRUE,Joseph Manchin,2013-05-01
2014-02-20,FALSE,Josh Hawley,2014-02-20
2013-10-08,TRUE,Kamala Harris,2020-07-01
2021-06-08,FALSE,Katie Britt,2021-06-08
2015-07-17,TRUE,Kelly Ayotte,2023-01-01
2019-12-04,FALSE,Kelly Loeffler,2019-12-04
2021-03-29,FALSE,Kelly Tshibaka,2021-03-29
2015-09-29,FALSE,Kirsten Gillibrand,2015-09-29
2018-09-07,TRUE,Kris Kobach,2021-02-01
2015-06-17,FALSE,Kyrsten Sinema,2015-06-17
2010-02-26,TRUE,Lamar Alexander,2023-02-01
2011-10-11,TRUE,Lindsey Graham,2020-08-01
2010-06-07,TRUE,Lisa Murkowski,2020-12-01
2010-05-13,TRUE,Luther Strange,2012-10-01
2011-09-15,TRUE,Maggie Hassan,2020-08-01
2017-07-25,FALSE,Marco Rubio,2017-07-25
2011-08-19,TRUE,Maria Cantwell,2012-07-01
2019-06-18,FALSE,Mark Kelly,2019-06-18
2014-08-19,FALSE,Mark Kirk,2014-08-19
2012-12-11,TRUE,Mark Warner,2014-10-01
2011-09-05,TRUE,Markwayne Mullin,2016-02-01
2014-01-07,TRUE,Marsha Blackburn,2020-08-01
2012-02-13,TRUE,Martha Mcsally,2023-02-01
2013-01-18,FALSE,Martin Heinrich,2013-01-18
2010-07-21,TRUE,Mazie Hirono,2015-06-01
2009-06-10,TRUE,Michael Bennet,2014-08-01
2017-11-06,TRUE,Mike Braun,2018-01-01
2013-04-23,FALSE,Mike Crapo,2013-04-23
2012-06-28,TRUE,Mike Enzi,2021-07-01
2011-04-28,FALSE,Mike Lee,2011-04-28
2012-11-29,TRUE,Mike Rounds,2015-01-01
2013-02-05,FALSE,Mitch Mcconnell,2013-02-05
2009-07-08,TRUE,Mitt Romney,2016-09-01
2015-03-04,TRUE,Orrin Hatch,2022-12-01
2015-09-08,FALSE,Patrick Leahy,2015-09-08
2013-03-28,TRUE,Pat Roberts,2013-09-01
2009-09-17,TRUE,Pat Toomey,2023-03-01
2010-06-23,TRUE,Patty Murray,2014-12-01
2009-05-13,TRUE,Rand Paul,2015-12-01
2020-12-02,FALSE,Raphael Warnock,2020-12-02
2015-01-12,TRUE,Richard Blumenthal,2021-02-01
2009-03-04,TRUE,Richard Burr,2020-12-01
2011-04-28,TRUE,Richard Shelby,2014-03-01
2014-08-07,TRUE,Rick Scott,2015-03-01
2012-08-02,TRUE,Robert Casey,2021-03-01
2012-04-17,TRUE,Robert Menendez,2021-08-01
2015-10-20,TRUE,Rob Portman,2021-06-01
2013-03-06,TRUE,Roger Marshall,2021-06-01
2011-03-11,FALSE,Roger Wicker,2011-03-11
2011-01-07,FALSE,Ron Johnson,2011-01-07
2010-03-12,TRUE,Ron Wyden,2013-04-01
2011-11-22,TRUE,Roy Blunt,2015-01-01
2012-09-06,TRUE,Sheldon Whitehouse,2013-11-01
2010-07-16,TRUE,Shelley Capito,2012-01-01
2009-06-03,FALSE,Sherrod Brown,2009-06-03
2011-03-10,TRUE,Steve Daines,2013-08-01
2009-01-29,TRUE,Susan Collins,2010-10-01
2012-09-27,FALSE,Tammy Baldwin,2012-09-27
2008-12-30,TRUE,Tammy Duckworth,2015-02-01
2014-02-26,TRUE,Ted Cruz,2021-11-01
2012-04-18,FALSE,Thad Cochran,2012-04-18
2009-02-27,TRUE,Thom Tillis,2011-09-01
2015-10-09,FALSE,Tim Kaine,2015-10-09
2012-10-13,TRUE,Tim Ryan,2021-05-01
2009-10-13,TRUE,Tim Scott,2015-02-01
2015-12-10,FALSE,Tina Smith,2015-12-10
2011-01-06,TRUE,Todd Young,2014-11-01
2011-11-11,TRUE,Tom Carper,2013-06-01
2012-10-27,FALSE,Tom Cotton,2012-10-27
2010-08-14,TRUE,Tommy Tuberville,2019-03-01
2009-11-05,FALSE,Tom Udall,2009-11-05
2021-02-17,FALSE,Vance Vance,2021-02-17
